id,fullName,name,type
n10162,@java+method#com.fsck.k9.mailstore.LocalFolder.delete(boolean).$anonymous1.doDbWork(com.fsck.k9.mailstore.SQLiteDatabase),doDbWork,Operation
n10163,@java+field#com.fsck.k9.preferences.SettingsImporter.ImportResults.erroneousAccounts,erroneousAccounts,Variable
n10164,@java+method#com.fsck.k9.Account.getSignatureUse(),getSignatureUse,Operation
n10165,"@java+method#com.fsck.k9.mail.store.webdav.WebDavStore.getMoveOrCopyMessagesReadXml(java.lang.String[],boolean)",getMoveOrCopyMessagesReadXml,Operation
n10166,@java+method#com.fsck.k9.notification.NewMailNotifications.removeNotificationData(com.fsck.k9.Account),removeNotificationData,Operation
n10167,@java+constructor#com.fsck.k9.message.extractors.PreviewExtractionException.PreviewExtractionException(java.lang.String),PreviewExtractionException,Constructor
n10168,@java+field#com.fsck.k9.activity.setup.AccountSettings.PREFERENCE_SCREEN_COMPOSING,PREFERENCE_SCREEN_COMPOSING,Variable
n10169,@java+field#com.fsck.k9.mailstore.LocalStore.FOLDER_NOTIFY_CLASS_INDEX,FOLDER_NOTIFY_CLASS_INDEX,Variable
n1017,@java+class#com.fsck.k9.mailstore.LocalStore,LocalStore,Structure
n10170,@java+method#com.fsck.k9.mail.internet.Viewable.MessageHeader.getMessage(),getMessage,Operation
n10171,@java+field#com.fsck.k9.mail.store.pop3.Pop3Store.CAPA_COMMAND,CAPA_COMMAND,Variable
n10172,@java+method#com.fsck.k9.mailstore.AttachmentResolverTest.buildCidMap__onPartWithNoBody__shouldReturnEmptyMap(),buildCidMap__onPartWithNoBody__shouldReturnEmptyMap,Operation
n10173,@java+constructor#com.fsck.k9.service.PollService.Listener.Listener(),,Constructor
n10174,@java+constructor#java.lang.Error.Error(java.lang.String),,Constructor
n10175,@java+field#com.fsck.k9.activity.setup.AccountSettings.PopulateFolderPrefsTask.allFolderValues,allFolderValues,Variable
n10176,"@java+method#com.fsck.k9.cache.EmailProviderCache.getValueForThread(java.lang.Long,java.lang.String)",getValueForThread,Operation
n10177,@java+method#com.fsck.k9.mailstore.LocalStoreTest.findPartById__withRootLocalMessage(),findPartById__withRootLocalMessage,Operation
n10178,@java+field#com.fsck.k9.activity.setup.ConnectionSecurityHolder.connectionSecurity,connectionSecurity,Variable
n10179,@java+field#com.fsck.k9.provider.MessageProvider.MonitoredCursor.semaphore,semaphore,Variable
n1018,"@java+method#com.fsck.k9.ui.messageview.MessageViewFragment.$anonymous1.startPendingIntentForCryptoPresenter(com.fsck.k9.ui.messageview.IntentSender,java.lang.Integer,com.fsck.k9.provider.Intent,int,int,int)",startPendingIntentForCryptoPresenter,Operation
n10180,@java+method#com.fsck.k9.fragment.MessageListFragment.onRemoteSearch(),onRemoteSearch,Operation
n10181,@java+method#com.fsck.k9.activity.MessageCompose.askBeforeDiscard(),askBeforeDiscard,Operation
n10182,@java+method#com.fsck.k9.notification.NewMailNotificationsTest.testClearNewMailNotifications(),testClearNewMailNotifications,Operation
n10183,@java+field#com.fsck.k9.message.quote.HtmlQuoteCreator.FIND_INSERTION_POINT_HTML_END,FIND_INSERTION_POINT_HTML_END,Variable
n10184,@java+field#com.fsck.k9.activity.AlternateRecipientAdapter.context,context,Variable
n10185,@java+class#com.fsck.k9.provider.EmailProvider,EmailProvider,Structure
n10186,@java+field#com.fsck.k9.ui.messageview.MessageContainerView.currentHtmlText,currentHtmlText,Variable
n10187,@java+method#com.fsck.k9.notification.NotificationData.calculateNumberOfMessagesForSummaryNotification(),calculateNumberOfMessagesForSummaryNotification,Operation
n10188,@java+field#com.fsck.k9.view.RecipientSelectView.RecipientTokenViewHolder.cryptoStatusRed,cryptoStatusRed,Variable
n10189,@java+method#com.fsck.k9.activity.setup.WelcomeMessage.showWelcomeMessage(com.fsck.k9.controller.Context),showWelcomeMessage,Operation
n1019,@java+field#com.fsck.k9.preferences.TimePickerPreference.VALIDATION_EXPRESSION,VALIDATION_EXPRESSION,Variable
n10190,"@java+constructor#com.fsck.k9.controller.MessagingController.recreate(com.fsck.k9.Account,com.fsck.k9.controller.MessagingListener).$anonymous1.()",,Constructor
